,S1a,S1b,S2a,S2b,S3a,S3b,time
236,6.8369036,6.6463227,4.641965,4.5116467,3.9327078,3.9038873,23.6
237,6.5755725,5.807026,4.687985,4.3466325,4.0191708,4.630397,23.700000000000003
238,7.0727897,5.87094,3.5617452,5.019074,4.777858,4.5088315,23.8
239,6.9031005,6.3114977,4.7361665,4.2607174,4.3372803,3.413637,23.900000000000002
240,6.5244274,6.6017156,4.4330425,3.9965727,4.19785,4.5820394,24.0
241,7.1758385,5.865075,5.1380253,3.5766945,3.711896,4.710935,24.1
242,6.9797726,5.373517,4.9809747,3.8580885,3.6391954,3.900685,24.200000000000003
243,6.8326254,6.331263,4.28974,4.2640953,3.5229025,3.388405,24.3
244,6.7009044,6.793043,4.0085616,3.369824,3.8606324,4.3738375,24.400000000000002
245,7.1322794,6.4698358,4.890017,4.550766,4.012461,4.090743,24.5
246,6.5337124,6.908207,4.1271396,4.4513927,3.48767,4.751461,24.6
247,6.208887,6.291605,4.406247,4.534375,3.78461,3.673185,24.700000000000003
248,6.7386746,7.0641317,4.9295654,3.8956604,3.6990664,4.293748,24.8
249,4.982185,7.4374876,4.9423175,4.3532686,4.299067,3.7749581,24.900000000000002
250,5.3672056,6.7527103,5.021579,4.5070653,3.6445389,4.39731,25.0
251,4.5102944,5.7907815,5.006306,5.091038,3.5934048,3.3679745,25.1
252,5.2477217,6.5163846,4.4354506,3.7339294,4.143174,4.7151012,25.200000000000003
253,4.653756,6.4717054,5.040965,4.519467,4.709309,4.5435863,25.3
254,4.2802916,7.336114,4.621546,4.8280616,4.221612,3.5604289,25.400000000000002
255,4.352546,6.6011734,4.040883,4.474224,3.7566206,4.9140635,25.5
256,5.6612606,7.4061813,4.679913,5.2757835,4.1834435,3.934084,25.6
257,5.461142,7.014728,4.050279,4.9291806,4.499021,4.1891465,25.700000000000003
258,5.0266266,6.5939956,5.024626,4.5526543,4.57601,4.1201763,25.8
259,6.724624,7.250881,4.9053297,4.31598,4.140382,3.6021,25.900000000000002
260,5.779646,7.091976,4.495121,4.222977,4.359456,4.3151035,26.0
261,6.6950026,6.639271,4.168895,4.5212708,4.707805,3.7596118,26.1
262,7.3322015,6.8766184,4.471827,4.3615203,3.8341882,3.557161,26.200000000000003
